,Spins,Seed,Objective value,Objective bound
2,100,5555,-5355449,-5355449
2,100,6666,-5758081,-5758081
2,100,7777,-5845822,-5845822
2,150,5555,-7668091,-8147015.75
2,150,6666,-8275314,-8835569.699
2,150,7777,-8653066,-8967164.077
2,200,5555,-11652596,-12486433
2,200,6666,-11746050,-12734518.67
2,200,7777,-10853579,-11818362
2,250,5555,-13773231,-15428811
2,250,6666,-14192223,-16080153
2,250,7777,-13035537,-14706346.06
2,300,5555,-17083616,-19705438.63
2,300,6666,-17113353,-19593615.5
2,300,7777,-17056531,-19570192
3,100,5555,-5238757,-5238757
3,100,6666,-5713598,-5713598
3,100,7777,-5784112,-5784112
3,150,5555,-7612796,-7612796
3,150,6666,-8187454,-8187454
3,150,7777,-8585946,-8585946
3,200,5555,-11588805,-11588805
3,200,6666,-11613563,-11693383
3,200,7777,-10706238,-10706238
3,250,5555,-13803242,-13886800
3,250,6666,-14179549,-14179549
3,250,7777,-12855362,-13017850.33
3,300,5555,-17179893,-17445040.17
3,300,6666,-17125963,-17807364.33
3,300,7777,-16969741,-17614721.5
